Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
"C10, C5, C6, C7, C8",0603,5,0.1uF,
"C3, C4",0603,2,470n,
C9,0603,1,1uF,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Conn,
"J3, J4, J5, J6","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",4,Conn_01x02,
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,
"R1, R10, R11, R2, R3, R4, R5, R6, R8, R9",0603,10,5k1,
R7,2512,1,0.1,
U1,SOT-23-5,1,AP2112K-3.3,
U2,SOT-23-6,1,USBLC6-2SC6,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U6,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
